title,price,detail,ISBN,review
  Mystery at Mermaid Cove (12) (Itty Bitty Princess Kitty) , $6.99 ,Ships from,978-1665928045,"[('Holly', ""After reading the previous booka in the series, we had to get this one as well! This one was one of my daughter's favorites since it involved mermaids. Good, easy chapter book to read a couple chapters as a bedtime story.""), ('Clarrisa W.', 'My daughter just turned 9 and we’ve read all 12 books in the Itty Bitty Princess Kitty series.  Perfect books from kindergarten and up to around fifth grade.  Perfect for readers who enjoy princes/princesses, kitties (of course), unicorns, fairies, mermaids, candy, glitter, and the like.  Adorable illustrations and we really love reading the “sneak peeks” at the end of each book for what’s to come in the next book!'), ('William Payne', 'Our family is a big fan of this series. When our daughter was 6 and struggling with enjoying reading on her own in 1st, Book 1 came along and changed everything. Our now 8 yr old is an avid reader, and this is the series that showed her how fun reading her own chapter books herself could be.')]"
" Santorini, Greece: Travel Guide Book - A Comprehensive 5-Day Travel Guide to Santorini, Greece & Unforgettable Greek Travel: Best Travel Guides to Europe Series, Volume 8 ",$2.99,"Journey to the Center of Santorini, Greece!",,"[('Henry Becker', ""If you visit Santorini, Greece once in your life, you will be tempted to visit again there because of beauty of the black sand beaches and luminous white buildings with powder-blue dome caps. It is really a stunning experience! In this 5-day guide to Santorini, you'll find a variety of our top recommendations and helpful tips to prepare you for having the best travel experience during your time in Greece! Author explains which all places we can cover within 5 days.""), ('Pam', ""Not worth the money.  More than half the book talks about how to travel abroad and what to expect when traveling.  Only a few pages are dedicated to 'Things to do in Santorini' and even those suggestions were not amazing.  This book is written like it was a student writing a term paper and trying to fill up the pages with unnecessary information.  We left the book in the hotel room hoping maybe someone else could gleam some nugget from it.  Definitely not worth the weight in our suitcase to bring home.""), ('Crystal Bramlett', 'More about general travel tips that the actual destination')]"
  The Alphabet Book of Animals - Easy Ways to Learn the ABCs , $3.99 ,"“Easy Way to Learn the ABCs” Books",,"[('SuzyD', 'The 26 animals selected to represent the letters of the alphabet include some very interesting choices (numbat and wallaby, to name a couple), many of which will be a first for your child.'), ('S. ROYSTONE NEVERSON', 'The images are of good to excellent quality, most enlarging with little distortion on my Kindle Fire HD7. There were a couple that were just average, but most were stunning.'), ('James Hoag', ""Each image is accompanied by a sentence or two giving an interesting fact about each animal. In what may be a first (including even mainstream publishers), I didn't notice any grammatical errors or typos -- excellent job of proofing!"")]"
"        Melissa & Doug Children's Book - Poke-a-Dot: Goodnight, Animals (Board Book with Buttons to Pop) - Poke A Dot Books For Toddlers And Kids Ages 3+       ",$,Ships from,,"[('Amazon Customer', '\n                    The media could not be loaded.\n                '), ('Amazon Customer', '\xa0My kid loves to poke the dots as we go through the pages and count together.'), ('Brenda', ""I have bought these books time and time again. My kids love them, and I buy them for all the babies we know! They're an absolute hit and are nice and sturdy to last years to come"")]"
" You Grow Me: The Next Level Human Philosophy of Love, Sex and Romantic Connection ",    $0.00   ,"When it comes to romance it is not love at first sight, it’s love at first story. And our love stories are all wrong. No one can, should, or will ever complete you. The most they can do is help you grow to your highest potential. That only happens when you open your mind to a new way of thinking about and being in relationships. This new philosophy will forever free you from the dysfunctional stories you have around romantic connections.",,"[('Amazon Customer', 'You Grow Me"" is a profound narrative that resonates deeply, echoing the universal journey of growth. It has left an indelible mark on the my heart and soul. It is an essential read for all human beings.'), ('Linda Palazzotto', 'This book is a must read.  It is beautifully written, thoroughly entertaining, thought provoking, and insightful.  Jade and Emily share their personal stories and lessons they have learned along the way.  I have gained so much more wisdom and tools to become a better version of myself and how I approach relationships.  I will read this book again and again.'), ('Linda Palazzotto', 'Really helped me understand the other side! I love how real they are while speaking the much needed to hear hard truth! I highly recommend!')]"
"  The Mountain Man's Reward (Thickwood, CO Book 5) ",    $0.00   ,"Funny, sweet, curvy, and giving, Cora Lance is almost perfect.",,"[('Misty Schott', ""Judd has always tried to stay away from the Fire Chief's daughter, Cora but sometimes fate steps in. Cora and Judd have been fighting their attraction to each other for years but some forced proximity will soon change that....lol.""), ('Barbara Van Zandt', ""He's a firefight and her dad is chief. So she's is forbidden  to date , but her has cared for her for yrs. She had felt the same way about him. A bad storm and she's in a ditch and he rescues her and takes her to his cabin.  They're both tired of avoiding beginning together. They had to work out a couple of things and calming her dad down but things are finally going their way""), ('Maranda', ""I was so hoping that Judd and Cora would get a story ever since being introduced in Braden's book. Omg what a story they got. Judd works for Cora's father.  Her father is Thickwoods fire chief. Cora has always been off limits. I mean she has to be. Well fate has different plans. Mother nature threw a monkey wrench by the way of a rain storm. Late one night Judd finds Cora stranded on the road in the pouring rain. Only option is to wait it out at his cabin. Can these two defy fate and sexual attraction to survive one night? We shall see. It was such a fast paced and fun read. I couldn't flip the pages fast enough. I love all the tension of the characters. It was nice to see Braden and Ophelia make an appearance too."")]"
  Trojica za Kartal : Sarajevski Marlboro remastered , $38.88 ,Ships from,,
  The Lost Bookshop: The most charming and uplifting novel for 2024 and the perfect gift for book lovers! , $2.99 ,The Echo of Old Books,,"[('Amazon Customer', 'This book is magical, heart breaking, heart warming, inspirational, and thought provoking all in one!  I loved every well written chapter!'), ('Amazon Customer', 'I could not find this book anywhere so I first went onto a different music app where you can listen to audiobooks and started listening there.  I noticed after I listened to about 8 chapters that I was completely lost.  I gave up on the audio and found the book on Kindle Unlimited.  Then I started all over from the start of the book.'), ('sj', ""Note: Though the audio version is VERY good, and the narrators are superb, this is the kind of book where you really need to pay attention to who's chapter you're on, or you will get confused.  This story is told from the perspective of three main characters in two different time periods (one based in 1920+ and the other in more present time).  Once you have your characters down and the cadence of the storytelling down, you won't get as confused.  I did on occasion have to flip back to see who's character I was on to keep the story straight."")]"
" Amsterdam, Netherlands Travel Guide Book: A Comprehensive 5-Day Travel Guide to Amsterdam & Unforgettable Dutch Travel ",$2.99,Journey to the center of Amsterdam in the Netherlands!,,"[('Mitchell', ""Amsterdam is probably one of my top most likely want to visit before I die. Because there are so many different places I wanted to go and see and be satisfied on how beautiful this city can be. The culture is stunning, the place is just wonderful and the people are just lovely. I've always planned to go there and now here I am achieving one of my goals in my bucket list now checking it. This book is completely the best guide to ever have when you are going to Amsterdam. Everything you needed to know is literally written inside this book. It helps you find your own destination, where you could find a place to go, place to stay, place to eat, the transportation and all that. Thank you so much for providing such a great book. I'll head on to Amsterdam now!""), ('Monterey Jack', 'Very thin with large type, so not much content. The one city map is illegible.'), ('Nadine Harris', 'Lots of times and places. Lots of tourist info. More photos would have been helpful. Good advice for staying in Amsterdam')]"
"  Benny the Brave in The First Day Jitters (Team Supercrew Series): A children’s book about big emotions, bravery, and first day of school jitters. ",$4.99,Ships from,979-8985470703,"[('Amazon Customer', 'I know a lot of people are scared to try new things. How wonderful this book was written for kids who might be scared of going to a new school for the first time.'), ('Jodi Rose', 'The illustrations are beautiful and endearing. The words are easy to read and comprehend. I think kids would get a kick out of seeing the illustrations that have food in the pictures, and would love to talk with the person reading them the book, about the funny pictures with food in them.'), ('Jenna and Jason', 'I love the capes on the characters. The kids I know, love capes. I think this would be a fun visual for them to carry with them when they are trying something new.')]"
"  Hudson's Sweet Honey: (An OTT, instalove, age gap romance): Tempting Treats Book 2 ",    $0.00   ,"Can a steamy night with a stranger turn into happily ever after? Find out in this racy, instalove romance.",,"[('sylvia r. gomez', 'I love the chemistry between Hudson n Avery. From the start it was hot reading couldn’t put the book down until finished. Short n hot stories the way I like them.'), ('jade_angel121', ""Hudson's Sweet Honey is a quick read with plenty of heat. A chance meeting in Billings leads to instant attraction between Hudson and Avery. Avery is swept away by Hudson's charm and is resigned to just one night with this handsome stranger, while Hudson knew immediately that he has met the woman of his dreams and won't be letting her go any time soon. Read all about their instalove, their HEA, and all their hot & steamy moments in between!""), ('Jen9731', 'I received a free copy of this book via Booksprout and am voluntarily leaving a review.')]"
"  Gone Fishing In Heaven: Fisherman Memorial Guest Book-A Celebration of Life, Fishing, In Loving Memory Of Fisherman-Condolence Remembrance Memorial Service ", $5.57 ,Ships from,978-1689018814,
  Totalna rasprodaja , $23.00 ,Ships from,,"[('nena', 'Alles einfach perfekt. Herzlichen Dank!')]"
  African Print Notebook: An Ankara Fabric Design Print Cover With Lined 120 Pages 6X9 Inches , $6.00 ,Ships from,,
  The Gift to Be Simple Bread Book...a Door County Journey With Recipes , $8.24 ,ILLUSTRATED;' COLLECTED RECIPES,978-0942495485,"[('glas', 'Best bread book ever!')]"
 The Power of Affirmations ,    $0.00   ,BOOKA Audiobooks presents ,,
 El Arco del perdón [The Arch of Forgiveness]: La práctica de un Curso de Milagros [Practicing a Course in Miracles] ,    $0.00   ,El título de este libro está inspirado en la imagen de un arco inmortalizado por D.H. Lawrence en su novela ,,
"  Munich Travel Guide: Munich, Germany: Travel Guide Book—A Comprehensive 5-Day Travel Guide to Munich, Germany & Unforgettable German Travel ",    $0.00   ,"Journey to the Center of Munich, Germany!",,"[('Grace N', 'If you are traveling in Europe for the very first time, this might work for you.  But I found the book to be so elementary as to be almost insulting.  That is, it is written as if for a 4th-grader.  I should have gone for the book that was written by a local.  We spent only 4-days in Munich so this seemed like a good choice.  Not.  We are back from Munich now and had a great time poking and visiting the sites without the aid of any guide book.'), ('Brianna Denise Krooberg', ""I pick this book for the reason that my friend is in Munich, Germany. Me and my husband plans to visit her. This is an incredible book to be a guide. I love to share this to my husband and for sure he will love this guide. It's everything we need.""), ('KB', ""As I'm just in the process of arranging a trip to Germany I was delighted to find two of these travel guides to different cities while they were free and grabbed them quick!  I got this one (Munich) and the Berlin one too and while they share much of the same basic travel information and guidelines, they each also have fabulous inside information about their chosen destination.  The suggested five day itineraries look like they'll be particularly useful for me - though I may well swap a few things around.  I like that these books are concise but give you plenty of options of different places to stay, eat and visit during your trip that will suit all budgets and tastes so I definitely recommend them"")]"
  100 Floral Mandala Patterns Adult Colouring Book: Beautiful Relaxing Designs , $5.49 ,Ships from,979-8420117453,"[('jane moran', 'Love it'), ('Mrs L H Warrener', 'The patterns are very small and fine almost impossible to colour in.')]"
  The Jesus Book-A Fresh Retelling of Mark's Gospel , $6.95 ,Arrived on time and as a second hand book it was good quality,,"[('Martin Perrett', 'Arrived on time and as a second hand book it was good quality')]"
 Otoño [Fall]: Cuarteto estacional ,    $0.00   ,"La escritora escocesa Ali Smith es una de las autoras más destacadas de los últimos años en el Reino Unido y su Cuarteto estacional, uno de los proyectos más ambiciosos e inspiradores de la literatura europea actual. ",,
  Harrison: A Level Series Novel; Book 1 (The Level Series) ,    $0.00   ,Violet Chase has always been off limits. The girl I wanted...but could never have.,,"[('Amazon Customer', '💥❤️\u200d🔥I started Harrison a few hours ago and a few hours later I’m sweating, filled with angst, and hope! VR Tennent gives us a story that is both unique and full of tropes enough to satisfy anyone’s read. The love Harrison and Violet have shared over the years is a beautiful one. And there is no easy way for them to come together unless they’ve gone through the fires of hell. Do they come out perfected on the other side? That’s for you to tell once you’ve read Harrison. And you won’t want to miss this. We are left with understanding that justice can prevail, but evil continues in this world. I’m struggling now because the next two books won’t be out until March and September respectively. But there are enough of her books to get you by until then! Get this on your Kindle or buy it out right. You won’t regret it!❤️\u200d🔥Does he get his 5⭐️?? From me he does!🫣🥰'), ('Nancy A. Pasquale', 'I enjoyed reading Harrison & Violet’s story. TikTok had me immediately putting it in my library for my next read & I wasn’t disappointed.'), ('Caylee T.', 'Sometimes it seemed like the story was a little scattered but I thoroughly enjoyed it.')]"
  Bound By Dragons ,    $0.00   ,I was born to ride dragons and no one can steal my fate...,,"[('Amazon Customer', 'I think this has to be my favorite of the Starry Kingdoms. 1) it has dragons and 2) I absolutely loved all of the characters. This is a shorter book so to be able to make it a gripping story and build the characters to something I wanted to continue on, is huge!'), ('kwarren', 'We watch as Tahlia, who has only ever wanted to be a dragon rider, sneaks into the competition. This is held for full Fae only but since she is half human she knew she didn’t have a chance. Or did she?'), ('Keshia ML', 'We watch as she gets in and forms relationships with different competitors and also continues to have a strong friendship with Fara (whom I adore!)')]"
  In My Heart: A Book of Feelings (Growing Hearts) , $9.92 ,Ships from,9781419713101,"[('Amazon Customer', ""Adorable book with whimsical drawings. I purchased this book as a Valentine's Day gift for a 3 and 5 year old. It helps kids understand their feelings and emotions, with fun simple text and how your heart can feel so many feelings. Actually good for all ages, we all need to explain and express how our heart is feeling. A great gift for any heartfelt occasion.""), ('Amazon Customer', 'This is an absolutely amazing book about emotions presented in a fun easy to understand way. It is long enough to describe all the emotions in detail but also short enough to not bore children and lose their attention. The pictures are beautiful, fun and colorful. My children love this book and I don’t mind rereading it, highly recommend'), ('GG', 'I bought this for my spectrum kiddo and we both loved it. It teaches some feelings and has pretty colors to keep interest. I recommend for any young kiddo.')]"
  The Jazz Age: The 20s (Our American Century) , $11.27 ,Ships from,978-0783555096,"[('Megan Kelly', 'This Time-Life series contains page after page of photos from the decade each book covers.  Very  little text, but the pictures portray the history, the emotion, and the subtext of the moment.  Prominent leaders and key moments of our growth as a nation sit side by side with regular American citizens and everyday life. Invaluable.'), ('Mike', ""This book has great pictures and info on the 1920s.  It's fun just to page through it, and I use it when I teach about it in class.  Some things are skimmed over, of course, but when you're trying to cover a decade in 1 book, that's to be expected.""), ('Diane E. Christenson', 'this book has some great historical information of our nation and wonderful pictures of the era.  I would highly recommend this book')]"
  The Peacock and the Sparrow: A Novel , $14.99 ,EDGAR AWARD NOMINEE FOR BEST FIRST NOVEL,,"[('Amazon Customer', ""This was a great read that was hard to put down! Even though it's fiction, it was fascinating reading a story about events that I remember living through from the perspective of someone who was there. It gave me a very different view of that time. I.S. Berry really knows the subject matter and it shows. The characters are compelling and the story was immersive. I'm looking forward to what's next from the author!""), ('Beth F.', 'This is a very good spy novel.'), ('William de Rham', 'At the end of his career as a CIA agent, 52-year-old Shane Collins has been assigned to Bahrain’s capital city, Manama, to serve out the remainder of his time before taking his pension.  It is the time of the “Arab Spring.”')]"
  I Love Reading to You: Reading to Baby in Womb ,$1.99,Ships from,979-8985554540,"[('Diana Marie', ""My 4 year old son loves this book! I enjoyed watching my husband and him bond over it. This book perfectly illustrates a father's love.""), ('johntae', 'This was a very nice read to read to my unborn baby as I love reading and want my baby to love it as well'), ('M N R', 'A nice story to share with little ones to see where they come from, and even better to show them when a sibling is on the way! The illustrations are warm and welcoming and they build with excitement. Well done!')]"
  Why Cats Chase Rats - A Nigerian Folk Tale (African FolkTales #1) (African Folk Tales) , $2.99 ,Why Cats Chase Rats – An African Folk Tale ,,"[('Jan Fisher', 'Why cats chase rats does not follow the standard genre for this type of book - it is refreshingly unusual with a charm and style that will fascinate and perplex.'), ('skygypsy', 'The lovely water-colour and ink higlighted illustrations really bring the story to life, making it easy to imagine the characters springing to life.'), ('Robert P. Rumball', 'An excellent book well worth a try.')]"
 Tomar el Ego a la ligera [Take the Ego Lightly]: Proteger nuestras proyecciones [Protect Our Projections] ,    $0.00   ,"La exposición versa sobre el desmantelamiento de la seriedad del sistema de pensamiento del ego, basado en el pecado, la culpa y el miedo. Dicho sistema se mantiene en su lugar debido a nuestra proyección de un mundo serio - a nivel personal y colectivo - cuyo propósito es que dirijamos nuestra atención hacia el cuerpo. De esta manera no prestamos atención a la mente tomadora de decisiones, que es al mismo tiempo la fuente del problema y la solución. Pero el ego se deshace fácilmente cuando prestamos atención al amable hombrecillo (símbolo de Jesús) que está justo detrás de nosotros, y que siempre nos recuerda que nos riamos de su chiste: ""Es un chiste pensar que el tiempo pudiese llegar a circunscribir a la eternidad...."" Su presencia amorosa nos anima a afrontar la seriedad del ego, en todas sus formas, con una risa amable, un tierno cosquilleo y una dulce sonrisa.",,
  No Time Like The Present: 7 Ways to Enhance Your Life Now , $8.99 ,Ships from,978-1646201624,"[('Customer', 'This book is straight to the point… very knowledgeable, especially when you have lived it. Don’t sleep on this book…A lot Of knowledge and easy  reading book!!! Great for high school, college, adults , any cultural.')]"
  Precious Moments Little Prayers -- Golden Books Board Book ,                                             ,14-page board book containing children's 2-line prayers.,,"[('Greg A. Waddington', 'Good.')]"
" Berlin, Germany: Travel Guide Book: A Comprehensive 5-Day Travel Guide to Berlin, Germany & Unforgettable German Travel ",$2.99,"We're here to help you discover the amazing city of Berlin for yourself! For a limited time, Passport to European Travel Guides offers this comprehensive, yet quick and concise, five-day guide to Berlin. Have no idea where to start? Or maybe you have an idea but could use some great insider tips? Well, listen on! You see, we know your trip begins before you even book your flight, and this guide is chock full of dynamite tips on everything you need to know before you go and much, much more! ",,"[('Anderson Curtis', 'I’ve always wanted to visit Germany and this year my dream will come true because I already booked my trip. I started researching on the internet things about Berlin and what attraction it has. I found this 5 days traveling guide which proved very useful. It gave me an idea on how I should prepare for my trip and also a lot of recommendations. I made a plan based on the ideas given by this traveling guide and first I will do a tour by bike given the fact that Berlin’s infrastructure is bike friendly. Also I will visit the Reichstag building, the Brandenburg gate, the Berlin zoo, the Victory Column and the Museum Island. I know there are a lot of other nice placed that can be visited in Berlin and I will take them into consideration and make a plan while being there.  A great and comprehensive travel guide that will help you with the right info and  tips while abroad.'), ('KB', ""As I'm just in the process of arranging a trip to Germany I was delighted to find two of these travel guides to different cities while they were free and grabbed them quick!  I got this one (Berlin) and the Munich one too and while they share much of the same basic travel information and guidelines, they each also have fabulous inside information about their chosen destination.  The suggested five day itineraries look like they'll be particularly useful for me - though I may well swap a few things around.  I like that these books are concise but give you plenty of options of different places to stay, eat and visit during your trip that will suit all budgets and tastes so I definitely recommend them""), ('Roberto', 'Traveling to Germany is on my bucket list with my family in the future and I need to know first what I needed before planning a trip there. This book has stated the necessities in travelling like, passport etc. It has also explained on what season is the cheapest to fly there the expensive one. There are pieces of advice on what to say if there has been an emergency and guides on where are the best places to visit.')]"
  Applesauce Day , $9.59 ,Ships from,978-0807503904,"[('Joanna Kasperek', 'It’s a nice story about making memories and enjoying traditions with loved ones.'), ('McM', 'This\xa0book will bring\xa0back sweet, sticky, and tiring\xa0memories of childhoods spent canning and making applesauce. It also provides the suburban and urban kids a taste of what the countryside has to offer and where applesauce comes from.\xa0The gentle\xa0text and joyous images make a wonderful read aloud book, while\xa0skillfully\xa0and subtly exposing\xa0kids to\xa0science, plant science, cooking, and family traditions. The apple facts and recipe in the back further spur interest in apples and applesauce. For instance, did\xa0you know applesauce has been\xa0in\xa0orbit?\xa0'), ('Kindergarten Teacher', 'Great for preschool aged kids. I’d read Applesauce Season to my kindergarten class for years. When I moved to preschool, that was a little to old for them. This is a great story especially if you’re making applesauce afterward')]"
  Alphabet.Coloring Book.A notebook for practicing writing letters and numbers for preschoolers.Coloring pictures. , $8.00 ,Ships from,979-8877564954,
  The Middle South Wool Book.A Treatise of Practical Information for the Home and the Farm. (1900) [Leather Bound] , $30.19 ,Ships from,,
  The Encyclopedia Of Picture Chords For Keyboard , $22.99 ,Ships from,978-0825615030,"[('DR', 'Pictures make it easy to practice'), ('Amazonica', 'Just incredible!!!  Invaluable!!!!'), ('Jose Perez', 'Very good...!')]"
"  Fashion coloring book for girls Age 8-12: Unleash Your Creativity with fashion for girls coloring book.A Variety fashion , beauty for girls teenage ", $5.88 ,Ships from,979-8851765810,
  Roarsome Dinosaurs Coloring Book - Great Gift for Kids: Dino Activity Book: 40 Pages of Prehistoric Fun for Boys and Girls , $5.99 ,Ships from,979-8884015289,
"  Prague Travel Guide: Prague, Czech Republic: Travel Guide Book—A Comprehensive 5-Day Travel Guide to Prague, Czech Republic & Unforgettable Czech Travel ",    $0.00   ,Journey to the Center of Prague!,,"[('Brian Green', ""Prague is a beautiful City that deserves exploration.  From a foreigners perspective it can be a bit overwhelming when you don't speak the native language, but don't fret this book will help you immensely.  From historic sites to the latest hot spots, all the fun you can have in Prague will be located in this book.  A definite must buy and 5 Stars.""), ('Chloe Trenton', ""I love these kind of books, they sorf of give you the authentic feeling, as if you're really there, experiencing everything beautiful and famous about the city. Prague is most certainly one of the greatest places in the world and I sure will be making my trip - plan with this by my side!""), ('Amazon Customer', 'This is a great guide for me who is planning to visit Czech Republic with my family. This is a complete guide and every details of information I needed about the place is in this book and the necessary information can be read in this book.')]"
  Piano Book for Beginners: Learn how to Play any Piano Song & Read Music ,$2.99,Ships from,979-8871479162,
  Poništeno , $71.15 ,Ships from,978-8660840518,
" London, England - Travel Guide Book: A Comprehensive 5-Day Travel Guide ",$2.99,"We're here to help you see London just as you've been longing to! Perhaps you've never been to London. No worries, Passport to European Travel Guides offers this comprehensive yet quick and concise five-day guide to London, England - one of the most distinguished focal points of the European showcase! ",,"[('Jerome Raker', 'Thinking about going to London this summer so I figured I would download this book even though I have my travels planned already. My first thought opening the book was that maybe I would get a few tips from reading it but I was surprised on the content despite the short length of the book I was about to get specific details about places to stay.'), ('Eva Nora Tyler', 'This guide is a perfect detailed plan for anyone considering traveling to London. Tells you where to go, recommends the best locations, and directs you to the proper resource.'), ('Jayem', 'This book has got to be one of the most complete guides there is in travelling.  I like how it inspires the reader to get into the London mood by suggesting films to watch before the trip.  Also it has practical tips on Etiquette, tips, passports, visas etc.  I like how the 5 day itinerary is presented - seems very streamlined and easy to follow.  I need not research much on other sources since I sincerely believe everything there is to know about the trip is contained in this book.  This is truly a wonderful compilation of information from well - travelled authors.  Congratulations for a great travel book!')]"
  Peekaboo: House (Peekaboo You) , $9.99 ,Ships from,978-1536223927,"[('Paul', 'This is the second peekaboo book I buy. My granddaughter absolutely loves them.'), ('Isabell Parker', 'My grandson loves the peek a boo books. Keep him entertained over and over again! Kid proof but not dog proof : )'), ('Lovesummer', 'One year old son loves these peekaboo books!')]"
  Courtship Rite (SFBC 50th Anniversary Collection) , $24.50 ,"The planet of Geta is a harsh and unforgiving world where only one source of meat exists: man. Cyclical famines have made a distinct, ritualistic form of cannibalism a necessity, and intricate rituals involving courtship, love, death, and multiple marriages are the rule. Gaet, Hoemei and Joesai are three sons of the old Prime Predictor, Tae ran-Kaiel of the Kaiel clan. They are bound to each other, as well as their two wives, Noe and Teenae. They hope to soon complete their most-desirable Six-marriage with Kathein, a scientist. But the new Prime Predictor, Aesoe, has other plans.... In order to gain an outlet to the sea, Aesoe orders the brothers to marry Oelita, the Clanless One. The Gentle Heretic has a legion of followers that would give the Kaiel allies against their powerful opponents, and a foothold in the coastal lands. The brothers choose to court Oelitaand have her prove her worththrough a complicated Death Ritual. Oelita has the audacity to question the existence of the God of the Skywho has begun to speak. Pestilence, plague and conflict are brewing across the land. Now the courted and her suitors find themselves in the center of a violent storm where destiny and death walk hand-in-hand with the secrets of an ancient past....",978-0739471838,"[('john c twineham', 'Have over 3,000 paperback and hardback sci-fi books, and have been reading same for almost 70 years (read ""Lord of Rings"" in 1962), and this is my all time favorite.  Very rich; found a small detail upon last rereading (probably 40th or 50th reread); a single pithy sentence that I had previously missed.  Bought this copy so I could share it with other readers; probably have 4-5 other copies out on various loans.'), ('Kindle user', ""I have read thousands of books, and there are only 4 or 5 that I come back and read over and over. Courtship Rite is one of those books.  The situation of the planet colonists forced the people to adopt 2 customs that will push some peolpes hot buttons but I think all except the most conservative readers would find it enjoyable to read once, even if it doesn't turn out to be a 'multiple read' for them.""), ('Dean Stow', 'I wish I could carry this book around with me on my ""KINDLE!""...')]"
  ABA Therapy for Nonverbal Toddlers: Developing Communication Skills for Kids with Autism , $4.99 ,Ships from,979-8776719875,"[('Amazon Customer', 'Enjoyed learning about ABA and his to effectively aid children getting on the learning curve. Will definitely use some of the ideas with my students.'), ('BreeAnna C. Coombs', 'Helpful tips for RBTs or BTs wanting more knowledge'), ('Craig Brandenburg ', 'I will definitely be using this book for reference over and over. My son is 3 and still nonverbal and this gave me a ton of helpful ideas and helped me understand certain types of modifications that can be matched to certain situations. Love it!')]"
  Rabbit drawing booka , $10.00 ,Ships from,979-8792214200,
  La voluntad del molle (Spanish Edition) , $8.99 ,"Tras la muerte repentina de su madre, una mujer aparentemente común y corriente, Elena y Elisa descubren un viejo baúl en el fondo de su armario. Resguardado por dos candados, alberga recibos y fotografías extrañas, cartas amarillentas y notas de prensa que dan cuenta de una historia de amor y violencia que ha permanecido oculta por más de tres décadas.",,
"  The Complete Works of Jane Austen 7 Books Collection Box Set (Sandition and Other Tales, Sense and Senesibility, Pride and Prejudice, Persuasion, Emma & More) ", $30.50 ,Ships from,978-9124224110,"[('Ohltb', 'My daughter is a complete fan of all things Jane Austen.  I was surprised when she asked for the books.  I had always assumed she had her own copies.  She loves them'), ('yash joshi', 'please send correct books , quality and all is good:('), ('yash joshi', 'Nice compact set of books.')]"
  Drawing Book-A: Fun with Colors (Drawing Books) , $20.00 ,Ships from,979-8851369179,
  MY BOOKA: aesthetic dairy , $20.00 ,Ships from,,
  Stonehenge Notebook | Wiltshire UK: 100 Lined Pages | Travel | Gift Book , $5.99 ,Ships from,,
  Colorful Cats & Curious Kittens Coloring Book-A Whisker-filled Adventure with Fun Facts , $6.99 ,Ships from,979-8883004512,
  Uhvati zeca , $39.00 ,Ships from,,
  Curse of Bigness , $15.92 ,Ships from,,"[('Cliente Satistecho de KINDLE', 'Este libro fue una recomendación, ya había leído a Tim Wu, y la verdad no me decepcionó, fue una gran sorpresa.'), ('Premdayal G.', 'This book is authored by a very knowledgeable Tim Wu who is a Professor of Law , Science and Technology at Columbia Law School . Besides , he has also worked in Barack Obama Administration . I guess Prof. Wu has successfully exposed the political-industrial nexus operating against the welfare of small business and also people in general .')]"
"  KID,S COLORING BOOK-A Wild Adventure with Animals: Educational coloring book for kid and adults age 6-15 ", $12.00 ,Ships from,979-8884833616,
  The Beekeeper's Handbook , $23.83 ,Ships from,978-1501752612,"[('Amazon Customer', 'I’m a book guy…it’s the feel of the paper (good quality in this case) the clarity of the print and the SMELL!  Yep…with a library of over 16,000 books and over 450 years of historical record…the SMELL of the ink and paper and history of THAT book..EACH book…as an individual…becomes part of the whole experience…'), ('Legamin', 'But I digress….'), ('Mick Rasband', 'THIS BOOK…is good quality, brand new, packed well and sent quickly, but better than all those things….It is filled with great knowledge on beekeeping that can be used now and referenced during the off times when you just want to pursue and check you facts or consider a new trend or idea against the older established knowledge.  This book is a wealth of information that can benefit beekeepers of every track, hive type and process…whether you run naked through swarms of bees or suit up for nuclear mutant bees from Hell (that’s me!).  This covers everything from basic hive parts and construction, repairs and purposes for each thing to varied styles of feeding, keeping and handling.')]"
  Le Corbeau et Le Renard (French Edition) , $1.17 ,La fable de Jean de la Fontaine : Le corbeau et le renard.,,"[('nounou', ""j'adore et mon fils également, nous avons d'ailleurs pris les autres, les illustrations sont belles et le livre très agréable esthétiquement l'histoire est respectée pas de surprise de ce côté là je recommande cet article pour l'apprentissage de cette fable, deux fables pour chaque livre""), (""Client d'Amazon"", 'Un classique des Fables de La Fontaine ! Cependant le livre comporte que très peu de page et, et très, il risque de vite s’abîmer...'), ('JOELLEp', 'produit conforme à la description. Délai livraison tenu.')]"
  A Sweet Floral Life: Romantic Arrangements for Fresh and Sugar Flowers [A Floral Décor Book] , $19.24 ,Ships from,978-1984861641,"[('Amazon Customer', 'A Sweet Floral Life is beautifully written; the photographs are amazing - the moments of ""AWE"" radiate throughout the book. I purchased one for a friend, and one for myself. SO INSPIRING!!!'), ('Amazon Customer', ""I've bought flower books that cost much more than this one printed on cheap paper with horrible clarity and color saturation.  This book looks like a high quality book printed in Italy - easily worth $40 to $50.  The flower arrangements and photography are first rate.  The author discusses art, philosophy and how to arrange and photograph flowers.  Also, how to make sugar flowers.  There is a lot of detail and depth to this meticulously produced book.  I highly recommend it.""), ('Veronica', 'The author is a Dutch floral artist who started selling gorgeous special occasion cakes with lifelike sugar flowers and transitioned to flower design and arrangements. She specializes in lush, ornate, classic old-fashioned flower arrangements often created with fresh flowers as well as sugar flowers to fill in when useful. In this book Ms Sadi gives detailed instructions on flower arranging and  creating sugar flowers. The book would be a beautiful gift for a flower and design loving, creative friend. It is chock full of photos of her wonderful arrangements and their components. Highly recommended.')]"
